date,maturity,yield
2025-02-17,10.0,3.06
2025-02-17,15.0,2.939
2025-02-17,20.0,2.957
2025-02-17,30.0,2.907
2025-02-18,0.25,2.945
2025-02-18,0.5,2.945
2025-02-18,0.75,2.837
2025-02-18,1.0,2.788
2025-02-18,1.5,2.831
2025-02-18,2.0,2.858
2025-02-18,2.5,2.885
2025-02-18,3.0,2.882
2025-02-18,4.0,2.911
2025-02-18,5.0,2.958
2025-02-18,7.0,3.02
2025-02-18,10.0,3.073
2025-02-18,15.0,2.939
2025-02-18,20.0,2.956
2025-02-18,30.0,2.889
2025-02-19,0.25,2.95
2025-02-19,0.5,2.949
2025-02-19,0.75,2.843
2025-02-19,1.0,2.794
2025-02-19,1.5,2.823
2025-02-19,2.0,2.856
2025-02-19,2.5,2.88
2025-02-19,3.0,2.875
2025-02-19,4.0,2.905
2025-02-19,5.0,2.951
2025-02-19,7.0,3.014
2025-02-19,10.0,3.068
2025-02-19,15.0,2.935
2025-02-19,20.0,2.947
2025-02-19,30.0,2.886
2025-02-20,0.25,2.942
2025-02-20,0.5,2.94
2025-02-20,0.75,2.84
2025-02-20,1.0,2.794
2025-02-20,1.5,2.817
2025-02-20,2.0,2.847
2025-02-20,2.5,2.873
2025-02-20,3.0,2.87
2025-02-20,4.0,2.903
2025-02-20,5.0,2.948
2025-02-20,7.0,3.02
2025-02-20,10.0,3.078
2025-02-20,15.0,2.943
2025-02-20,20.0,2.952
2025-02-20,30.0,2.891
2025-02-21,0.25,2.93
2025-02-21,0.5,2.935
2025-02-21,0.75,2.835
2025-02-21,1.0,2.791
2025-02-21,1.5,2.805
2025-02-21,2.0,2.827
2025-02-21,2.5,2.852
2025-02-21,3.0,2.854
2025-02-21,4.0,2.89
2025-02-21,5.0,2.93
2025-02-21,7.0,2.995
2025-02-21,10.0,3.045
2025-02-21,15.0,2.917
2025-02-21,20.0,2.931
2025-02-21,30.0,2.878
2025-02-24,0.25,2.926
2025-02-24,0.5,2.93
2025-02-24,0.75,2.833
2025-02-24,1.0,2.789
2025-02-24,1.5,2.803
2025-02-24,2.0,2.819
2025-02-24,2.5,2.846
2025-02-24,3.0,2.846
2025-02-24,4.0,2.878
2025-02-24,5.0,2.916
2025-02-24,7.0,2.976
2025-02-24,10.0,3.015
